,Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date
0,122,77,4,15,4,206.77,2,caught,2,v South Africa,Centurion,2021-04-14
1,97,-,1,13,1,167.24,2,not out,1,v West Indies,Karachi,2018-04-02
2,90,78,1,13,1,155.17,1,caught,2,v South Africa,Johannesburg,2019-02-03
3,86,-,2,10,2,165.38,3,caught,1,v World-XI,Lahore,2017-09-12
4,85,76,3,8,3,173.46,2,caught,1,v England,Nottingham,2021-07-16
5,82,68,1,9,1,149.09,2,caught,2,v Zimbabwe,Rawalpindi,2020-11-07
6,79,66,2,7,2,136.2,2,caught,1,v New Zealand,Dubai (DSC),2018-11-04
7,79,78,2,9,2,149.05,2,caught,2,v West Indies,Karachi,2021-12-16
8,70,72,0,7,0,142.85,2,caught,1,v Namibia,Abu Dhabi,2021-11-02
9,68,-,1,5,1,123.63,2,not out,1,v Australia,Abu Dhabi,2018-10-24
10,68,87,2,6,2,130.76,2,not out,2,v India,Dubai (DSC),2021-10-24
11,66,-,1,7,1,150.0,1,not out,2,v Bangladesh,Lahore,2020-01-25
12,66,82,3,5,3,140.42,2,caught,1,v Scotland,Sharjah,2021-11-07
13,66,70,2,6,2,143.47,2,caught,1,v Australia,Lahore,2022-04-05
14,65,-,3,5,3,154.76,2,run out,1,v England,Cardiff,2019-05-05
15,59,-,2,5,2,155.26,1,not out,1,v Australia,Sydney,2019-11-03
16,56,55,0,7,0,127.27,1,caught,1,v England,Manchester,2020-08-30
17,55,49,2,6,2,148.64,3,not out,2,v West Indies,Dubai (DSC),2016-09-23
18,52,64,0,5,0,113.04,3,caught,1,v Zimbabwe,Harare,2021-04-25
19,51,-,0,6,0,127.5,2,caught,2,v West Indies,Karachi,2018-04-03
20,51,48,1,8,1,182.14,2,caught,2,v Zimbabwe,Rawalpindi,2020-11-08
21,51,58,2,4,2,127.5,3,caught,1,v West Indies,Providence,2021-07-31
22,51,85,0,4,0,108.51,2,bowled,2,v Afghanistan,Dubai (DSC),2021-10-29
23,50,45,1,5,1,172.41,3,not out,1,v New Zealand,Auckland,2018-01-25
24,50,-,1,5,1,125.0,1,bowled,1,v Australia,Dubai (DSC),2018-10-28
25,50,-,0,6,0,131.57,1,run out,1,v Australia,Canberra,2019-11-05
26,50,78,0,5,0,100.0,3,bowled,1,v South Africa,Johannesburg,2021-04-12
27,48,-,0,5,0,154.83,3,caught,1,v World-XI,Lahore,2017-09-15
28,45,-,0,5,0,118.42,3,caught,1,v World-XI,Lahore,2017-09-13
29,45,-,0,3,0,102.27,1,caught,1,v Australia,Dubai (DSC),2018-10-26
30,44,40,1,5,1,146.66,3,bowled,2,v South Africa,Lahore,2021-02-14
31,43,-,1,3,1,113.15,4,bowled,1,v West Indies,Port of Spain,2017-04-01
32,41,68,1,1,1,100.0,5,caught,1,v New Zealand,Wellington,2018-01-22
33,41,60,0,5,0,91.11,2,caught,2,v Zimbabwe,Harare,2021-04-23
34,40,-,0,4,0,97.56,2,caught,2,v New Zealand,Dubai (DSC),2018-11-02
35,39,45,0,5,0,114.7,2,caught,1,v Australia,Dubai (DSC),2021-11-11
36,38,-,1,1,1,105.55,3,caught,2,v West Indies,Port of Spain,2017-04-02
37,38,55,1,3,1,140.74,2,run out,2,v South Africa,Cape Town,2019-02-01
38,34,-,0,2,0,109.67,3,not out,1,v Sri Lanka,Lahore,2017-10-29
39,29,-,0,3,0,96.66,3,caught,2,v West Indies,Bridgetown,2017-03-26
40,27,42,0,1,0,112.5,3,not out,2,v West Indies,Abu Dhabi,2016-09-27
41,27,-,0,4,0,96.42,3,caught,1,v West Indies,Port of Spain,2017-03-30
42,27,-,0,1,0,84.37,2,caught,2,v Sri Lanka,Lahore,2019-10-09
43,24,49,0,3,0,104.34,2,caught,2,v South Africa,Centurion,2021-04-16
44,23,10,0,5,0,209.09,1,caught,1,v South Africa,Centurion,2019-02-06
45,22,26,0,3,0,137.5,2,caught,2,v England,Leeds,2021-07-18
46,21,19,0,3,0,116.66,1,bowled,1,v England,Manchester,2020-09-01
47,19,28,0,2,0,105.55,3,caught,1,v West Indies,Dubai (DSC),2016-09-24
48,19,31,0,2,0,76.0,2,caught,2,v Bangladesh,Mirpur,2021-11-22
49,18,-,0,1,0,105.88,3,caught,1,v New Zealand,Mount Maunganui,2018-01-28
50,17,-,0,3,0,130.76,2,lbw,1,v West Indies,Karachi,2018-04-01
51,15,13,0,2,0,136.36,3,not out,2,v England,Manchester,2016-09-07
52,14,23,0,3,0,100.0,2,caught,2,v South Africa,Johannesburg,2021-04-10
53,13,-,0,2,0,130.0,1,caught,2,v Sri Lanka,Lahore,2019-10-05
54,11,28,0,1,0,84.61,2,stumped,1,v England,Manchester,2021-07-20
55,9,23,0,1,0,81.81,2,bowled,2,v New Zealand,Sharjah,2021-10-26
56,7,-,0,1,0,77.77,1,caught,1,v New Zealand,Abu Dhabi,2018-10-31
57,7,21,0,1,0,70.0,2,bowled,2,v Bangladesh,Mirpur,2021-11-19
58,7,13,0,1,0,100.0,2,run out,1,v West Indies,Karachi,2021-12-14
59,6,-,0,1,0,85.71,2,lbw,1,v Australia,Perth,2019-11-08
60,5,6,0,1,0,125.0,2,lbw,1,v South Africa,Lahore,2021-02-13
61,3,-,0,0,0,30.0,1,bowled,2,v Sri Lanka,Lahore,2019-10-07
62,2,5,0,0,0,50.0,2,caught,1,v Zimbabwe,Harare,2021-04-21
63,1,-,0,0,0,12.5,3,stumped,2,v Sri Lanka,Abu Dhabi,2017-10-26
64,1,-,0,0,0,50.0,3,lbw,2,v Sri Lanka,Abu Dhabi,2017-10-27
65,1,10,0,0,0,20.0,2,bowled,2,v Bangladesh,Mirpur,2021-11-20
66,0,-,0,0,0,0.0,1,caught,2,v Bangladesh,Lahore,2020-01-24
67,0,2,0,0,0,0.0,2,run out,1,v South Africa,Lahore,2021-02-11
68,0,5,0,0,0,0.0,2,caught,1,v West Indies,Karachi,2021-12-13
